Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.hadoop.hbase.util.Methods;34.0;0.0;22.0;1.0;8.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;18.0;2.0;22.0;6.0;30.0;5.0;2.0;20.0;0.0;19.0;0.0;9.0;2.0;4.0;1.0;5.0;7.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.security.UserProvider;84.0;0.0;16.0;2.0;18.0;6.0;27.0;0.75;0.8571428571428571;1.0;0.0;8.0;8.0;14.0;4.0;41.0;14.0;4.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.OrderedInt64;39.0;0.0;21.0;2.0;9.0;8.0;20.0;1.0;1.1666666666666667;2.0;2.0;7.0;7.0;5.0;1.0;17.0;15.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.test.LoadTestKVGenerator;73.0;0.0;16.0;1.0;14.0;6.0;6.0;0.75;1.0;3.0;0.0;4.0;3.0;12.0;0.0;0.0;12.0;9.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;36.0;0.0;13.0;1.0;12.0;6.0;0.0;0.0;0.0;1.0;0.0;6.0;6.0;7.0;2.0;13.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;52.0;0.0;13.0;2.0;9.0;6.0;0.0;0.25;0.3333333333333333;3.0;1.0;4.0;3.0;19.0;3.0;13.0;10.0;15.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.StructBuilder;22.0;0.0;13.0;1.0;7.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;5.0;1.0;9.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.RetryCounterFactory;18.0;0.0;10.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;2.0;1.0;11.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.MD5Hash;32.0;0.0;17.0;1.0;7.0;2.0;1.0;1.0;2.0;1.0;0.0;2.0;2.0;7.0;2.0;14.0;4.0;10.0;3.0;4.0;2.0;0.0;4.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.encoding.CompressionState;88.0;2.0;15.0;1.0;12.0;3.0;8.0;0.625;0.78125;8.0;0.0;5.0;0.0;12.0;5.0;15.0;8.0;31.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.ConcurrentIndex;120.0;0.0;24.0;1.0;9.0;7.0;0.0;0.33333333333333337;0.5;2.0;0.0;3.0;3.0;14.0;0.0;0.0;11.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$SeekerState;233.0;2.0;24.0;1.0;51.0;35.0;330.0;0.8731182795698924;0.9022222222222223;15.0;0.0;31.0;25.0;34.0;9.0;23.0;66.0;26.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.CompoundConfiguration;366.0;0.0;41.0;2.0;42.0;58.0;54.0;0.43333333333333335;0.4642857142857143;2.0;0.0;15.0;14.0;76.0;2.0;33.0;79.0;52.0;2.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;2.0;2.0;0.0;4.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.DefaultEnvironmentEdge;9.0;0.0;9.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;2.0;9.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffCompressionState;14.0;0.0;8.0;2.0;4.0;0.0;0.0;0.5;1.0;2.0;0.0;2.0;0.0;3.0;2.0;8.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.Pair;100.0;0.0;18.0;1.0;14.0;18.0;25.0;0.7037037037037037;0.7916666666666667;3.0;0.0;9.0;8.0;11.0;4.0;14.0;27.0;7.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellEncoder;37.0;0.0;11.0;2.0;26.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;33.0;2.0;11.0;2.0;18.0;3.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
