Unit;ADR13;ADR16;Ocurrences;Class DeF
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffCompressionState;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffSeekerState;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.EncodedDataBlock;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.EncodedDataBlock$BufferGrabbingByteArrayOutputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.EncoderBufferTooSmallException;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.EncodingState;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffCompressionState;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffSeekerState;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.HFileBlockDefaultDecodingContext;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.encoding.HFileBlockDefaultEncodingContext;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.encoding.PrefixKeyDeltaEncoder;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.hadoopbackport.ThrottledInputStream;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.hfile.HFileContext;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.hfile.HFileContextBuilder;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.io.util.HeapMemorySizeUtil;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.util.LRUDictionary;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$Node;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.io.util.StreamUtils;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.security.User;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.security.User$SecureHadoopUser;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.security.UserProvider;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.trace.SpanReceiverHost;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.FixedLengthWrapper;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedBlob;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedBlobVar;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedBytesBase;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedFloat32;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedFloat64;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedInt16;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedInt32;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedInt64;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedInt8;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedNumeric;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.OrderedString;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.PBType;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.RawByte;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawBytes;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawBytesFixedLength;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.RawBytesTerminated;1.0;1.0;2.0;1.0
org.apache.hadoop.hbase.types.RawDouble;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawFloat;1.0;0.0;1.0;0.5
org.apache.hadoop.hbase.types.RawInteger;1.0;0.0;1.0;0.5
