Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.hadoop.hbase.util.Methods;35.0;0.0;23.0;1.0;8.0;5.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;18.0;2.0;22.0;6.0;31.0;5.0;2.0;21.0;0.0;19.0;0.0;9.0;2.0;4.0;1.0;5.0;7.0;1.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.BBKVComparator;109.0;0.0;19.0;1.0;21.0;21.0;1.0;0.75;1.5;2.0;0.0;2.0;1.0;39.0;2.0;19.0;23.0;88.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.security.UserProvider;152.0;0.0;42.0;2.0;32.0;14.0;34.0;0.8333333333333334;0.9375;4.0;0.0;9.0;9.0;35.0;4.0;41.0;23.0;54.0;3.0;2.0;1.0;0.0;7.0;0.0;2.0;2.0;0.0;1.0;1.0;0.0;3.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.OrderedInt64;49.0;0.0;18.0;2.0;9.0;8.0;20.0;1.0;1.1666666666666667;2.0;2.0;7.0;7.0;5.0;1.0;17.0;15.0;5.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.nio.MultiByteBuff;1022.0;0.0;30.0;2.0;122.0;184.0;1250.0;0.756043956043956;0.7678571428571428;7.0;0.0;65.0;47.0;175.0;2.0;29.0;250.0;33.0;4.0;0.0;0.0;0.0;14.0;0.0;0.0;0.0;5.0;1.0;0.0;13.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;36.0;0.0;13.0;1.0;12.0;6.0;0.0;0.0;0.0;1.0;0.0;6.0;6.0;7.0;2.0;13.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowColByteBufferExtendedCell;66.0;0.0;12.0;4.0;9.0;17.0;17.0;0.7755102040816326;0.9047619047619048;7.0;0.0;7.0;7.0;9.0;2.0;12.0;24.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;51.0;0.0;13.0;2.0;9.0;6.0;0.0;0.25;0.3333333333333333;3.0;1.0;4.0;3.0;19.0;3.0;13.0;10.0;15.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.SoftObjectPool$SoftObjectReference;6.0;0.0;7.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.StructBuilder;30.0;0.0;10.0;1.0;7.0;3.0;0.0;0.0;0.0;1.0;0.0;3.0;3.0;5.0;1.0;9.0;6.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.AsyncConsoleAppender;19.0;0.0;11.0;3.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;5.0;1.0;11.0;2.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.RetryCounterFactory;22.0;0.0;10.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;3.0;1.0;11.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.Threads$PrintThreadInfoLazyHolder;53.0;0.0;26.0;1.0;8.0;3.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;14.0;2.0;26.0;4.0;49.0;0.0;40.0;7.0;0.0;16.0;0.0;6.0;6.0;1.0;0.0;4.0;4.0;0.0;6.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.MD5Hash;32.0;0.0;14.0;1.0;7.0;2.0;1.0;1.0;2.0;1.0;0.0;2.0;2.0;7.0;2.0;14.0;4.0;10.0;3.0;4.0;2.0;0.0;4.0;0.0;1.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
