Rule Id;Violation Kind;Violating Unit;Violation Label;First Unit;Second Unit
ADR15;DRIFT;org.apache.hadoop.hbase.util.Methods;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.security.UserProvider;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.OrderedInt64;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.nio.MultiByteBuff;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.CompoundConfiguration$ImmutableConfWrapper;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.PrivateCellUtil$LastOnRowColByteBufferExtendedCell;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.trace.HBaseHTraceConfiguration;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.SoftObjectPool$SoftObjectReference;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.StructBuilder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.AsyncConsoleAppender;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.RetryCounterFactory;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.Threads$PrintThreadInfoLazyHolder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.MD5Hash;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.rsgroup.RSGroupInfo;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.CompressionState;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.CompoundConfiguration;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.AvlUtil;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.exceptions.DeserializationException;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.ChoreService$ChoreServiceThreadFactory;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.RowIndexCodecV1$RowIndexEncodingState;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.DefaultEnvironmentEdge;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.DiffKeyDeltaEncoder$DiffCompressionState;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.Pair;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.RowIndexSeekerV1$SeekerState;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.CommonFSUtils;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.net.Address;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.codec.CellCodecWithTags$CellEncoder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.exceptions.UnexpectedStateException;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.PrivateCellUtil$ValueAndTagRewriteCell;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.codec.CellCodec$CellDecoder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.EncoderBufferTooSmallException;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.RawByte;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.CommonsCryptoAESDecryptor;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.AbstractPositionedByteRange;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.Counter$Container;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.DynamicClassLoader;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.codec.BaseDecoder$PBIS;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.Strings;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.IndividualBytesFieldCellBuilder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.DefaultCipherProvider;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.JVM;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.OrderedNumeric;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.ConcatenatedLists;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.PrivateCellUtil$FirstOnRowDeleteFamilyCell;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueEncoder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.FastDiffDeltaEncoder$FastDiffCompressionState;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.ByteRangeUtils;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayKeyIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.Union4;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.WeakObjectPool;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.Union2;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.Union3;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.compress.Compression$FinishOnFlushCompressionStream;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.RawBytesFixedLength;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.SimpleMutableByteRange;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.CommonsCryptoAESEncryptor;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.RowIndexEncoderV1;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.encoding.AbstractDataBlockEncoder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.ImmutableBytesWritable$Comparator;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.AuthUtil;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.JSONBean;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.PBType;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.ByteBufferTag;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.MurmurHash3;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.ByteArrayOutputStream;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.RetryCounter$ExponentialBackoffPolicy;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.Hash;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$Node;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayValueCollection;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.MurmurHash;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.ByteBufferPool;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.PairOfSameType;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$COWEntry;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.CopyOnWriteArrayMap$ArrayValueIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.ObjectIntPair;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.ByteBufferListOutputStream;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.CommonsCryptoAES;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.OrderedBlobVar;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.AESEncryptor;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.util.LRUDictionary$BidirectionalLRUMap$ByteArrayBackedNode;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.RawDouble;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.crypto.aes.CryptoAES;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.TagUtil;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.FixedLengthWrapper;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.ClassSize$UnsafeLayout;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.UnsafeAccess;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.codec.CellCodecWithTags$CellDecoder;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.CellBuilderFactory;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.BoundedCompletionService$QueueingFuture;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.types.OrderedString;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.ExtendedCellBuilderFactory;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.JitterScheduledThreadPoolExecutorImpl$JitteredRunnableScheduledFuture;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.AvlUtil$AvlTreeIterator;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.util.CollectionUtils;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.compress.Compression;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.NoTagsByteBufferKeyValue;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.HBaseInterfaceAudience;NoA > 15;none;none
ADR15;DRIFT;org.apache.hadoop.hbase.io.ByteBufferInputStream;NoA > 15;none;none
