Unit;LoC;NOC;CBO;DIT;RFC;WMC;LCOM;LCOM2;LCOM3;NoA;NoPA;NoM;NoPM;NoI;Ca;Ce;CCC;LMLoC;LPL;TLoC;CLoC;FLoC;ECC;FCC;HCC;TCC;RCo;SCo;HCo;NoR;NoS;NoH;TFC;NoCA;NoCI;NoCRN;NoDR;NoEH;NoGH;NoGS;NoNPB;NoOC;NoOCA;NoSF;NoSKS
org.apache.hadoop.hbase.trace.SpanReceiverHost;72.0;0.0;24.0;1.0;14.0;12.0;2.0;0.5333333333333333;0.8;5.0;1.0;3.0;3.0;14.0;1.0;24.0;15.0;19.0;1.0;1.0;1.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.encoding.BufferedDataBlockEncoder$BufferedEncodedSeeker;288.0;0.0;37.0;1.0;64.0;51.0;97.0;0.7619047619047619;0.8067226890756303;7.0;0.0;18.0;10.0;82.0;6.0;36.0;70.0;106.0;4.0;3.0;2.0;0.0;8.0;0.0;2.0;2.0;2.0;0.0;2.0;4.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.ByteBufferOutputStream;124.0;1.0;23.0;2.0;31.0;7.0;26.0;0.5454545454545454;0.6;2.0;0.0;11.0;9.0;32.0;2.0;24.0;18.0;16.0;3.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.RawBytes;62.0;0.0;18.0;1.0;21.0;11.0;54.0;0.9696969696969697;1.0666666666666667;3.0;2.0;11.0;11.0;15.0;3.0;15.0;22.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.CellUtil;901.0;0.0;65.0;1.0;163.0;170.0;0.0;1.0;0.0;0.0;0.0;76.0;74.0;325.0;12.0;65.0;246.0;61.0;9.0;0.0;0.0;0.0;11.0;0.0;0.0;0.0;2.0;1.0;0.0;4.0;7.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.crypto.aes.AESDecryptor;64.0;0.0;27.0;1.0;13.0;6.0;22.0;0.71875;0.8214285714285714;4.0;0.0;8.0;6.0;7.0;2.0;27.0;14.0;12.0;1.0;4.0;2.0;0.0;7.0;0.0;2.0;2.0;2.0;0.0;2.0;3.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.zookeeper.ZKConfig;450.0;0.0;34.0;1.0;62.0;58.0;71.0;0.8769230769230769;0.9500000000000001;5.0;0.0;13.0;9.0;117.0;3.0;23.0;74.0;57.0;2.0;2.0;6.0;0.0;13.0;0.0;2.0;3.0;1.0;1.0;1.0;5.0;3.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueEncoder;10.0;0.0;10.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;3.0;2.0;11.0;1.0;4.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.security.User$SecureHadoopUser;141.0;0.0;32.0;2.0;21.0;13.0;36.0;0.8888888888888888;1.0;2.0;0.0;9.0;9.0;19.0;3.0;24.0;22.0;21.0;4.0;14.0;17.0;0.0;34.0;0.0;13.0;6.0;4.0;2.0;6.0;11.0;7.0;12.0;2.0;0.0;1.0;0.0;0.0;0.0;5.0;0.0;4.0;0.0;0.0;0.0;3.0
org.apache.hadoop.hbase.types.TerminatedWrapper;126.0;2.0;24.0;1.0;29.0;28.0;13.0;0.35;0.3888888888888889;2.0;0.0;10.0;9.0;40.0;3.0;19.0;40.0;16.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.types.RawBytesTerminated;50.0;0.0;15.0;2.0;4.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;6.0;1.0;11.0;4.0;2.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.RetryCounter$BackoffPolicy;3.0;1.0;6.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;2.0;4.0;6.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.IncrementingEnvironmentEdge;37.0;0.0;9.0;1.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;2.0;3.0;1.0;9.0;4.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.ForeignExceptionUtil;71.0;0.0;28.0;1.0;34.0;14.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;44.0;0.0;0.0;18.0;16.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.compress.ReusableStreamGzipCodec$ReusableGzipOutputStream$ResetableGZIPOutputStream;66.0;0.0;16.0;3.0;16.0;8.0;9.0;0.8;1.0;2.0;0.0;5.0;2.0;22.0;3.0;16.0;13.0;25.0;3.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.Base64$Base64OutputStream;188.0;0.0;18.0;3.0;13.0;17.0;4.0;0.6833333333333333;0.82;10.0;0.0;6.0;6.0;16.0;0.0;0.0;23.0;35.0;3.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.crypto.Encryption;532.0;0.0;57.0;1.0;82.0;44.0;350.0;0.9444444444444444;0.9807692307692307;2.0;0.0;27.0;26.0;125.0;6.0;51.0;74.0;33.0;7.0;65.0;36.0;4.0;91.0;4.0;20.0;35.0;2.0;1.0;5.0;21.0;11.0;16.0;9.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;14.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.zookeeper.ZKConfig$ZKClusterKey;21.0;0.0;6.0;1.0;3.0;3.0;3.0;0.6666666666666667;1.0;3.0;0.0;3.0;3.0;1.0;3.0;6.0;6.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.KeyValueTestUtil;153.0;0.0;32.0;1.0;50.0;26.0;0.0;1.0;0.0;0.0;0.0;13.0;6.0;74.0;1.0;31.0;39.0;23.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.NonceKey;35.0;0.0;12.0;1.0;5.0;9.0;1.0;0.19999999999999996;0.25;2.0;0.0;5.0;5.0;1.0;1.0;11.0;14.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.io.util.StreamUtils;171.0;0.0;20.0;1.0;13.0;47.0;0.0;1.0;0.0;0.0;0.0;9.0;9.0;32.0;9.0;20.0;56.0;38.0;2.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;1.0;1.0;0.0;4.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
org.apache.hadoop.hbase.util.WeakObjectPool$ObjectReference;6.0;0.0;6.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
