Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.codec.CellCodec$CellDecoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.CellCodec$CellEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.CellCodecWithTags;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellDecoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.CellCodecWithTags$CellEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.CodecException;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodec;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueDecoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodec$KeyValueEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueDecoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.codec.KeyValueCodecWithTags$KeyValueEncoder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.exceptions.TimeoutIOException;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.BoundedByteBufferPool;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.ByteBufferInputStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.ByteBufferOutputStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.ImmutableBytesWritable;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.ImmutableBytesWritable$Comparator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.io.LimitInputStream;0.0;0.0;1.0;1.0;2.0;0.5
